Question,Answer1,Answer2,Question Note,Answer Note
The fleet,la flota,,Noun,La flota alienígena entró en el sistema solar.
To infiltrate,infiltrarse,,Verb,Los agentes lograron infiltrarse en el gobierno.
The survivor,el superviviente,la superviviente,Noun,El superviviente caminaba por las ruinas.
In disguise,disfrazado,oculto,Adjective,El agente Lurien estaba disfrazado de humano.
The sabotage,el sabotaje,,Noun,El sabotaje de los satélites fue un éxito.
The threat,la amenaza,,Noun,La amenaza venía desde el cielo.
To hack,hackear,,Verb,Neal intentó hackear el sistema cuántico.
The secret,el secreto,,Noun,El secreto de los agentes fue descubierto.
The weapon,el arma,,Noun,El arma de energía es muy potente.
The future,el futuro,,Noun,El futuro de la humanidad es incierto.
