Question,Answer1,Answer2,question_note,answer_note
To behave,comportarse,,Reflexive,El niño se comporta muy bien.
To burn,quemar,,Verb,Ten cuidado de no quemar la cena.
To damage,dañar,,Verb,La lluvia puede dañar las flores.
To scare,asustar,,Verb,Ese ruido me asustó mucho anoche.
To happen,suceder,ocurrir,Verb,¿Qué acaba de suceder en la calle?
To hide,esconder,,Verb,Ella decidió esconder el regalo allí.
To show,mostrar,,Verb,Muéstrame el camino más corto ahora.
To seem,parecer,,Verb,Parece que va a llover pronto.
To belong,pertenecer,,Verb,Esas tierras pertenecen al estado hoy.
To remain,quedar,,Verb,Solo queda una manzana en la mesa.
